STATE,REVENUE_2005,REVENUE_2011,REVENUE_2015
Alabama,33376997,41381661,42019114
Alaska,11404052,18353715,11993328
Arizona,41056844,58588756,56098558
Arkansas,18865934,27695373,26832657
California,381059228,521092241,510867350
Colorado,38915310,51852572,55486713
Connecticut,30490099,42527723,42905997
Delaware,7636707,11062529,10313063
District of Columbia,10046167,13236779,15059488
Florida,135491071,180202820,165665337
Georgia,60296631,84591622,78176488
Hawaii,11000269,15945159,16817992
Idaho,10004264,14106986,12882678
Illinois,99669899,135949057,135837762
Indiana,44301843,57105262,57836937
Iowa,23204137,34619721,34824888
Kansas,19990130,28544267,27769970
Kentucky,28068853,40966092,39863100
Louisiana,35858007,49275566,43388903
Maine,11383089,13921585,12542758
Maryland,45076453,62803435,64336795
Massachusetts,62019392,82849657,84243330
Michigan,81138462,93555103,95161900
Minnesota,45464645,63654150,66177992
Mississippi,21113251,31498562,29434936
Missouri,41339990,57153642,53800344
Montana,7438360,10281267,10008390
Nebraska,15904872,21852260,23055348
Nevada,18953181,25944382,25325487
New Hampshire,8910504,12160459,12426308
New Jersey,79125811,105234452,105755238
New Mexico,16656449,24276636,24159068
New York,234689174,324444663,339232020
North Carolina,64813231,93936852,88726763
North Dakota,5239270,9678344,12326963
Ohio,102498149,132234270,123346364
Oklahoma,24552073,35520543,34748079
Oregon,32405807,47034124,48729593
Pennsylvania,103692261,133655826,131744905
Rhode Island,9731402,12729640,11742506
South Carolina,33278454,45753442,45664787
South Dakota,5856731,8454486,7619267
Tennessee,44888233,60288525,56549208
Texas,162806313,224865846,238840838
Utah,19182905,25369618,27523309
Vermont,5392814,7572355,7556727
Virginia,56657747,76497579,78189644
Washington,57509924,78340816,82229523
West Virginia,14586656,18725223,18472994
Wisconsin,48235097,62969064,59062779
Wyoming,7269200,10253907,10460544